DATE,RTP_NYC
2021-02-01 0:00,38.9
2021-02-01 1:00,38.76
2021-02-01 2:00,39.47
2021-02-01 3:00,38.41
2021-02-01 4:00,30.49
2021-02-01 5:00,24.36
2021-02-01 6:00,27.65
2021-02-01 7:00,31.16
2021-02-01 8:00,55.38
2021-02-01 9:00,62.85
2021-02-01 10:00,57.4
2021-02-01 11:00,73.59
2021-02-01 12:00,59.41
2021-02-01 13:00,64.19
2021-02-01 14:00,63.74
2021-02-01 15:00,76.87
2021-02-01 16:00,50.86
2021-02-01 17:00,87.29
2021-02-01 18:00,98.09
2021-02-01 19:00,56.6
2021-02-01 20:00,40.13
2021-02-01 21:00,45.49
2021-02-01 22:00,36.21
2021-02-01 23:00,37.44
2021-02-02 0:00,88.1
2021-02-02 1:00,64.55
2021-02-02 2:00,47.7
2021-02-02 3:00,72.93
2021-02-02 4:00,55.73
2021-02-02 5:00,39.9
2021-02-02 6:00,30.04
2021-02-02 7:00,39.95
2021-02-02 8:00,47.05
2021-02-02 9:00,61.54
2021-02-02 10:00,97.44
2021-02-02 11:00,71.87
2021-02-02 12:00,65.39
2021-02-02 13:00,64.16
2021-02-02 14:00,72.59
2021-02-02 15:00,61.54
2021-02-02 16:00,48.13
2021-02-02 17:00,45.57
2021-02-02 18:00,58.18
2021-02-02 19:00,57.23
2021-02-02 20:00,54.52
2021-02-02 21:00,38.45
2021-02-02 22:00,40.78
2021-02-02 23:00,56.48
2021-02-03 0:00,40.58
2021-02-03 1:00,42.51
2021-02-03 2:00,43.16
2021-02-03 3:00,39.24
2021-02-03 4:00,30.66
2021-02-03 5:00,32.96
2021-02-03 6:00,26.72
2021-02-03 7:00,22.13
2021-02-03 8:00,29.86
2021-02-03 9:00,36.93
2021-02-03 10:00,35.78
2021-02-03 11:00,37.53
2021-02-03 12:00,38.1
2021-02-03 13:00,39.02
2021-02-03 14:00,75.21
2021-02-03 15:00,84.6
2021-02-03 16:00,81.55
2021-02-03 17:00,45.34
2021-02-03 18:00,38.82
2021-02-03 19:00,49.6
2021-02-03 20:00,44
2021-02-03 21:00,28.1
2021-02-03 22:00,17.77
2021-02-03 23:00,20.28
2021-02-04 0:00,83.74
2021-02-04 1:00,65.31
2021-02-04 2:00,45.15
2021-02-04 3:00,36.89
2021-02-04 4:00,36.99
2021-02-04 5:00,73.83
2021-02-04 6:00,84.29
2021-02-04 7:00,81.33
2021-02-04 8:00,82.38
2021-02-04 9:00,90.56
2021-02-04 10:00,57.21
2021-02-04 11:00,55.72
2021-02-04 12:00,47.09
2021-02-04 13:00,47.45
2021-02-04 14:00,63.1
2021-02-04 15:00,36.19
